No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
12,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,1.82B,43.44,24.46,3.62,4.28,7.58,74.78,629.15,0.93%,32.80%,0.79,-5.50%,61.14%,13.80%,12.00%,6.00%,-14.50%,8.20%,52.90M,40.75M,19.70%,-0.13%,72.70%,-0.07%,12.30%,27.68,15.10%,19.60%,21.00%,2.20,1.20,0.00,0.00,25.70%,14.00%,10.90%,6.16%,-2.52%,-7.04%,8.97%,-1.46%,-6.02%,0.99,1.14,4.48%,3.28%,15.43%,3.44%,7.34%,-11.73%,21.14%,-11.73%,31.57%,68.63,12.94%,-1.88%,3.00,181.17K,3.56,38.22,10.81%,"644,759",Nov 01/b
13,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,11.83B,27.03,19.84,1.52,1.26,3.23,13.11,18.77,0.15%,3.30%,5.91,-27.80%,15.79%,-3.00%,17.80%,8.60%,60.30%,2.80%,74.05M,73.87M,0.10%,1.72%,-,0.13%,3.65%,2.49,6.20%,15.50%,8.60%,1.60,0.50,0.29,0.00,43.60%,6.50%,5.70%,0.36%,-5.13%,11.52%,38.40%,95.45%,60.26%,1.00,4.79,3.38%,3.10%,-0.44%,-1.24%,21.16%,-4.66%,6.16%,-4.66%,107.47%,48.24,2.22%,0.13%,2.30,1.08M,0.94,163.51,2.35%,"1,015,395",Nov 13/b
14,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1074.18B,18.99,15.89,1.63,4.21,9.30,15.14,23.43,1.33%,23.60%,11.53,10.80%,16.89%,7.90%,11.67%,7.90%,40.40%,17.30%,4.91B,4.83B,0.07%,-18.80%,61.40%,-0.13%,0.83%,1.20,15.00%,43.50%,18.30%,1.30,1.20,0.84,1.00,38.30%,26.60%,22.00%,1.75%,-4.54%,5.53%,23.73%,29.47%,29.33%,1.22,6.57,3.37%,2.94%,1.22%,0.47%,15.76%,-4.82%,7.83%,-4.82%,47.91%,51.84,1.45%,0.09%,1.90,33.37M,1.45,222.22,1.54%,"48,224,952",Nov 01/a
15,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.85B,96.38,166.78,32.13,5.61,2.21,36.05,7.86,2.82%,267.10%,0.40,-13.40%,76.92%,61.20%,3.00%,6.00%,-44.30%,10.20%,48.21M,46.67M,0.40%,-,99.10%,0.15%,0.77%,1.79,0.80%,2.30%,4.30%,-,-,1.56,1.56,63.60%,24.30%,5.70%,4.72%,4.30%,0.63%,13.12%,-1.11%,0.31%,0.24,0.91,3.36%,2.45%,4.40%,2.08%,7.01%,-3.00%,8.82%,-3.75%,25.70%,59.90,0.10%,0.23%,2.40,201.80K,1.40,38.49,0.34%,"282,218",Oct 30/a
16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,57.38M,-,-,-,-,0.98,6.10,-,-,-,-0.04,-11.60%,-,20.60%,-,-,-27.50%,-,110.33M,98.03M,7.20%,0.00%,5.90%,52.82%,1.94%,10.88,-7.20%,-7.50%,-,9.70,9.70,0.00,0.00,-,-,-,-6.25%,-14.72%,-18.48%,-35.16%,-49.50%,-49.50%,-0.80,0.04,9.54%,8.18%,-2.80%,-10.30%,-27.02%,-21.86%,10.04%,-49.13%,10.04%,43.64,-0.15%,3.83%,-,174.68K,0.37,0.54,3.67%,"65,158",Nov 07/a
17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1.31B,31.30,7.14,3.13,0.54,0.74,5.59,-,-,0.00%,1.65,115.00%,3.58%,-5.70%,10.00%,5.60%,-156.70%,28.70%,25.35M,25.08M,1.20%,-19.33%,-,-1.23%,10.06%,9.37,3.50%,10.00%,4.50%,0.70,0.70,1.27,1.41,53.80%,7.50%,7.20%,6.13%,-16.85%,-20.15%,-23.41%,-15.86%,-11.99%,1.56,2.17,5.79%,3.98%,1.06%,-8.68%,-14.69%,-17.42%,11.64%,-28.54%,11.64%,48.22,3.46%,0.74%,2.10,269.52K,2.78,53.80,4.22%,"748,704",Nov 01/b
18,AAXJ,iShares MSCI All Country Asia ex Jpn ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85,-,-,-,-,-,-,-,-,-,-,1.98%,-9.04%,-11.70%,-16.60%,-16.36%,-17.42%,-,1.31,1.87%,1.66%,1.89%,-3.73%,-11.56%,-10.38%,7.87%,-21.89%,7.87%,51.21,2.03%,1.51%,-,1.18M,0.72,65.24,3.57%,"841,323",-
19,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3.73B,121.98,88.05,4.07,9.67,7.64,11.96,87.67,-,0.00%,0.51,-24.20%,32.02%,-1.90%,30.00%,24.50%,251.30%,24.60%,60.37M,57.01M,2.20%,-20.35%,82.80%,0.35%,5.89%,5.17,4.60%,8.10%,6.30%,4.00,3.70,0.00,0.00,62.40%,6.70%,5.10%,7.06%,-3.91%,-11.55%,48.94%,168.70%,132.91%,1.05,3.12,5.94%,5.21%,3.51%,-4.65%,14.76%,-17.18%,12.89%,-19.69%,198.49%,51.10,-1.11%,0.60%,2.50,649.88K,1.07,61.40,-0.52%,"698,470",Nov 06/a
20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.87B,9.70,10.96,1.41,9.92,1.89,-,-,9.96%,99.50%,2.98,10.20%,-2.19%,37.10%,6.88%,26.80%,46.60%,48.30%,99.34M,93.78M,0.10%,0.00%,21.40%,1.66%,0.84%,2.56,17.00%,17.10%,15.10%,-,-,0.00,0.00,-,100.00%,90.20%,1.19%,-5.12%,2.16%,7.47%,11.84%,15.41%,1.09,0.79,3.04%,2.83%,-1.37%,-2.92%,2.85%,-6.66%,3.85%,-6.66%,21.47%,46.26,-0.75%,1.63%,2.20,305.82K,2.02,29.16,0.86%,"617,918",Oct 24/b
21,ABAC,"Renmin Tianli Group, Inc.",Consumer Goods,Farm Products,China,13.45M,20.50,-,-,0.49,0.15,0.21,-,-,0.00%,0.08,-15.10%,-,28.20%,-,0.40%,-748.90%,0.00%,8.00M,4.06M,39.35%,0.00%,1.80%,-,0.51%,0.28,0.70%,0.70%,1.10%,19.60,17.90,0.00,0.02,13.90%,2.10%,2.40%,-1.12%,-15.10%,-22.18%,-30.49%,-50.56%,-43.02%,1.74,0.15,4.63%,8.90%,-7.71%,-11.00%,-26.37%,-47.47%,12.07%,-54.51%,12.07%,44.75,0.06%,-2.89%,-,73.69K,0.21,1.68,-2.83%,"15,809",Nov 19/a
22,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,45.56B,19.46,13.63,3.14,1.26,3.08,12.14,23.69,4.07%,74.00%,1.05,18.00%,12.66%,-2.60%,6.20%,-2.70%,4.90%,6.10%,2.24B,2.14B,-,-,5.50%,0.69%,0.20%,1.96,5.10%,16.10%,11.50%,1.20,0.90,0.47,0.67,29.80%,9.40%,6.20%,2.83%,-12.20%,-10.30%,-13.10%,-22.37%,-24.05%,1.25,0.42,2.18%,1.70%,-3.12%,-9.85%,-13.05%,-16.69%,6.76%,-28.95%,6.76%,37.79,0.54%,1.00%,2.30,2.20M,1.14,20.37,1.55%,"2,510,204",Oct 25/b
23,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,122.87B,18.72,9.06,1.22,3.97,-,32.83,20.14,4.79%,72.90%,4.29,-2.40%,12.46%,1.20%,15.37%,9.00%,5.40%,19.20%,1.53B,1.51B,0.09%,-3.06%,71.70%,-0.06%,2.16%,6.08,9.50%,214.60%,17.80%,0.80,0.70,-,-,75.80%,32.80%,20.70%,-1.86%,-16.46%,-16.91%,-19.93%,-13.23%,-17.06%,1.57,2.69,3.82%,3.24%,-8.50%,-12.82%,-19.22%,-18.73%,3.18%,-36.27%,3.18%,33.70,3.22%,-0.18%,2.50,5.37M,1.97,80.21,3.03%,"10,575,280",Nov 02/b
24,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19.90B,41.20,12.76,4.08,0.12,6.42,8.33,13.71,1.67%,22.80%,2.21,-74.00%,9.89%,-11.10%,10.10%,14.40%,450.50%,11.50%,218.91M,158.99M,0.20%,-33.90%,68.40%,-0.47%,2.86%,3.48,2.90%,38.50%,8.70%,0.90,0.50,1.48,1.54,2.90%,0.70%,0.70%,6.07%,-0.12%,12.29%,5.27%,18.66%,-0.98%,0.99,2.63,2.95%,3.08%,1.61%,1.96%,1.41%,-4.14%,9.45%,-14.44%,26.45%,54.48,2.80%,0.50%,2.40,1.31M,0.71,90.92,3.32%,"925,500",Nov 06/b
25,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,2.08B,18.00,10.12,2.25,5.61,1.25,4.32,-,0.92%,19.00%,2.41,13.00%,29.28%,38.80%,8.00%,17.90%,-61.60%,25.90%,47.89M,46.30M,1.30%,-0.59%,78.60%,0.03%,3.04%,4.28,0.90%,8.20%,21.50%,-,-,0.12,0.00,-,70.20%,21.40%,3.12%,-7.27%,-11.35%,-18.52%,-9.02%,-10.06%,1.18,1.45,2.81%,3.39%,-0.28%,-6.29%,-16.20%,-14.16%,10.19%,-26.59%,10.19%,46.06,0.77%,0.30%,2.50,328.20K,0.64,43.35,1.07%,"210,484",Oct 19/b
26,ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,680.52M,11.79,28.16,-,4.27,-,144.79,21.07,-,0.00%,1.22,466.40%,30.77%,19.70%,-,1.30%,-24.90%,1.50%,47.39M,14.53M,69.25%,-0.09%,23.10%,2.77%,1.93%,1.14,28.70%,-226.50%,192.20%,0.30,0.30,-,-,71.90%,12.20%,27.50%,-0.28%,25.96%,20.88%,38.08%,135.41%,152.82%,-0.83,0.23,0.49%,1.51%,6.93%,11.21%,32.51%,-0.62%,30.42%,-0.62%,176.69%,73.52,-0.28%,0.14%,3.00,246.83K,1.63,14.36,-0.14%,"401,457",Nov 13/a
27,ABDC,Alcentra Capital Corporation,Financial,Asset Management,USA,77.80M,-,7.10,-,2.49,0.47,-,-,12.52%,-,-0.06,-28.00%,-14.70%,0.75%,-,-,-,-13.00%,13.53M,-,-,-,-,-,-,0.60,-,-,-,-,-,-,-,-,-,-,-0.52%,-5.27%,-8.29%,-9.16%,-34.29%,-31.47%,-,0.15,3.89%,2.29%,-2.88%,-5.33%,-13.68%,-12.48%,3.05%,-38.37%,3.05%,41.44,2.31%,-0.53%,3.00,55.68K,0.95,5.75,1.77%,"53,061",Nov 05/a
28,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,444.52M,-,-,-,113.98,2.71,3.71,-,-,-,-0.75,-2.50%,1.10%,52.10%,-,-28.30%,-20.30%,300.00%,48.16M,31.88M,34.54%,0.00%,76.80%,0.02%,34.82%,19.50,-22.00%,-23.00%,-16.40%,21.10,21.10,0.00,0.00,-,-,-,3.01%,-22.44%,-34.54%,-49.84%,-43.72%,-41.77%,1.71,0.67,6.66%,7.00%,-6.15%,-24.70%,-37.97%,-41.02%,8.33%,-58.05%,8.33%,35.35,6.09%,1.16%,1.80,569.06K,1.15,9.23,7.33%,"655,583",Nov 14/a
29,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,69.01B,33.51,19.09,2.13,5.29,5.02,-,-,4.78%,-,0.13,-4.30%,4.50%,42.22%,15.75%,-,15.10%,12.10%,15.72B,4.39B,0.04%,0.00%,7.75%,-,0.45%,0.60,-,-,-,-,-,-,-,-,-,-,8.66%,-5.79%,-15.41%,-30.65%,-30.21%,-32.04%,-,0.17,4.02%,3.39%,-1.44%,-2.71%,-21.99%,-9.30%,13.73%,-40.92%,13.73%,49.20,0.23%,1.15%,3.00,32.73M,0.93,4.39,1.39%,"30,587,290",Oct 25/b
30,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.36B,7.92,8.27,0.50,0.20,2.84,200.62,25.17,-,0.00%,8.62,-5.40%,1.09%,21.50%,15.90%,6.80%,47.90%,9.70%,20.00M,19.46M,0.60%,-27.29%,-,2.24%,9.54%,6.70,6.90%,38.90%,10.80%,1.20,0.40,1.77,3.53,16.10%,4.60%,2.50%,1.79%,3.62%,-6.37%,-3.32%,9.22%,6.58%,1.42,2.54,4.79%,3.72%,8.39%,-0.49%,-2.06%,-12.27%,16.40%,-12.27%,16.40%,58.65,4.92%,-0.14%,2.60,277.13K,0.86,68.21,4.78%,"238,410",Oct 23/b
31,ABIL,Ability Inc.,Technology,Communication Equipment,Israel,10.64M,-,-,-,4.09,-,53.20,-,-,-,-2.43,-13.10%,-,-,-,-,-758.70%,-28.60%,3.41M,1.64M,50.39%,0.00%,17.30%,-2.32%,12.69%,0.27,-47.10%,544.50%,-,0.70,0.70,-,-,-4.20%,-,-,1.96%,-6.87%,5.96%,10.64%,-52.00%,-29.09%,-,0.36,8.85%,11.90%,-1.70%,-9.41%,-18.31%,-37.35%,16.47%,-78.56%,45.79%,48.33,1.96%,0.00%,3.00,772.45K,0.07,3.12,1.96%,"57,666",Nov 07/b
32,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,9.36M,-,-,-,-,1.05,0.97,-,-,-,-1.10,2.30%,-33.80%,33.50%,-,-,74.30%,-,13.77M,13.76M,1.17%,0.00%,12.90%,-,1.98%,0.41,-103.40%,-120.70%,-,9.40,9.40,0.00,0.00,-,-,-,22.69%,-1.46%,-9.39%,34.35%,-44.51%,-49.65%,1.77,0.09,16.70%,10.85%,11.14%,13.93%,-6.37%,-35.27%,35.94%,-66.01%,51.04%,58.19,2.52%,-2.50%,2.00,666.22K,1.33,0.68,-0.04%,"886,176",Nov 08/a
33,ABM,ABM Industries Incorporated,Services,Business Services,USA,2.07B,33.70,15.13,2.11,0.33,1.44,44.94,23.02,2.20%,54.10%,0.94,22.40%,12.48%,3.20%,16.00%,4.90%,-13.10%,23.20%,65.05M,64.99M,0.70%,-3.66%,-,1.96%,9.47%,10.30,2.20%,5.90%,3.60%,1.60,1.60,0.69,0.70,10.70%,1.90%,1.30%,5.41%,-0.34%,2.12%,4.82%,-22.73%,-15.75%,0.75,0.93,3.71%,3.04%,1.34%,-1.25%,-2.15%,-9.61%,7.80%,-28.90%,12.82%,52.80,3.18%,0.16%,2.00,597.66K,0.95,31.78,3.35%,"568,068",Dec 06/a
34,ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,17.06B,93.21,77.18,3.23,26.60,23.21,47.31,120.37,-,0.00%,4.04,149.60%,4.25%,51.40%,28.90%,30.30%,138.10%,35.80%,45.25M,42.98M,2.20%,-20.80%,88.80%,1.76%,2.33%,1.64,21.90%,24.90%,18.90%,6.50,5.80,0.00,0.00,83.20%,26.60%,25.70%,13.15%,-11.60%,-0.05%,7.92%,99.56%,101.13%,0.38,22.01,7.34%,6.05%,1.90%,-2.94%,7.86%,-18.01%,20.27%,-18.01%,101.87%,52.02,5.59%,4.63%,1.70,609.95K,2.42,376.94,10.47%,"1,474,062",Nov 01/b
35,ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,905.54M,9.78,10.98,1.22,2.27,1.15,8.46,7.55,8.41%,63.60%,1.22,27.40%,-17.45%,12.10%,8.00%,25.50%,-13.00%,34.10%,76.16M,57.22M,1.70%,0.39%,56.60%,0.24%,16.40%,8.89,2.20%,13.00%,2.90%,-,-,4.62,4.62,69.50%,29.60%,20.50%,0.17%,3.21%,1.28%,29.80%,44.82%,37.62%,0.09,0.21,1.97%,1.77%,1.19%,0.73%,18.03%,-3.72%,5.88%,-3.72%,50.70%,52.86,-1.74%,0.17%,2.70,1.06M,0.97,11.89,-1.57%,"1,024,816",Nov 09/b
36,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,124.31B,54.00,21.89,4.71,4.09,4.03,38.09,40.28,1.60%,393.60%,1.30,44.60%,11.02%,47.40%,11.47%,7.50%,162.00%,17.00%,1.77B,1.74B,0.70%,-2.52%,74.90%,0.15%,0.90%,2.62,0.70%,1.50%,2.20%,1.60,1.20,0.65,0.68,58.00%,8.30%,1.60%,3.66%,-2.62%,7.54%,19.42%,29.91%,22.92%,1.43,1.63,2.38%,2.41%,1.57%,1.93%,10.95%,-5.39%,8.80%,-5.39%,30.85%,56.42,1.53%,0.22%,1.80,5.95M,1.00,70.15,1.76%,"5,964,540",Oct 17/b
37,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,531.66M,17.44,13.01,-,3.97,1.60,2.45,16.41,-,0.00%,2.21,-13.90%,16.92%,16.89%,-,-,38.40%,17.90%,13.82M,11.39M,4.80%,-2.94%,46.90%,0.11%,3.80%,14.30,0.70%,6.20%,13.20%,-,-,1.01,1.01,-,70.10%,14.40%,-2.98%,-10.72%,-13.26%,-7.08%,0.44%,2.18%,-,1.67,4.40%,4.15%,-3.69%,-8.88%,-8.26%,-15.64%,3.47%,-17.89%,6.57%,40.74,-0.90%,0.28%,1.80,30.23K,1.87,38.47,-0.62%,"56,552",Oct 25/b
38,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,256.97M,-,-,-,21.24,2.25,1.66,-,-,-,-1.54,74.20%,-8.40%,-23.80%,-,-5.40%,102.90%,20.00%,53.76M,32.62M,2.70%,-3.60%,41.10%,1.56%,5.50%,3.80,-26.40%,-50.90%,-72.50%,13.70,13.70,0.00,0.00,-,-,-,11.68%,-49.68%,-50.47%,-18.98%,-11.48%,-5.35%,1.62,0.54,8.18%,13.64%,-7.62%,-38.95%,-31.90%,-57.51%,19.20%,-62.06%,19.20%,35.06,11.16%,1.42%,1.90,472.06K,0.77,4.78,12.74%,"365,546",Nov 01
39,ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,15.57B,-,30.25,-,2.06,1.75,9.17,35.14,0.90%,-,-0.86,67.00%,12.50%,36.10%,-,-10.30%,-,-7.80%,1.17B,1.15B,0.10%,0.00%,72.10%,-2.21%,4.45%,2.88,-2.60%,-7.20%,11.10%,2.60,1.40,0.64,0.64,35.50%,3.50%,-8.70%,6.13%,14.80%,20.18%,-0.97%,-6.19%,-7.81%,-0.57,0.50,3.72%,3.77%,6.80%,17.98%,7.94%,-5.39%,39.98%,-14.05%,39.98%,67.38,4.06%,2.15%,2.80,17.83M,1.16,13.34,6.29%,"20,642,474",Oct 24/a
40,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,920.01M,184.51,-,-,34.98,0.99,3.36,-,0.51%,67.30%,0.21,-26.50%,-,0.40%,-,4.50%,168.00%,-5.90%,23.41M,3.85M,0.35%,-,83.20%,-0.05%,7.73%,22.61,0.70%,0.80%,-2.10%,-,-,0.00,0.01,-,-65.80%,26.30%,1.39%,-8.26%,10.08%,4.80%,5.93%,15.25%,-,1.33,3.23%,3.01%,-3.07%,-0.17%,4.05%,-11.19%,7.82%,-11.19%,18.73%,48.38,0.98%,0.41%,-,13.15K,1.65,39.30,1.39%,"21,717",Nov 05/a
